FID,PCON19CD,PCON19NM,EER19CD,EER19NM
12,E14000891,Redcar,E15000001,North East
36,E14000915,Sedgefield,E15000001,North East
75,E14000554,Berwick-upon-Tweed,E15000001,North East
90,E14000569,Bishop Auckland,E15000001,North East
95,E14000574,Blaydon,E15000001,North East
96,E14000575,Blyth Valley,E15000001,North East
131,E14000709,Gateshead,E15000001,North East
155,E14000733,Hartlepool,E15000001,North East
168,E14000746,Hexham,E15000001,North East
176,E14000754,Houghton and Sunderland South,E15000001,North East
187,E14000765,Jarrow,E15000001,North East
215,E14000641,City of Durham,E15000001,North East
232,E14000658,Darlington,E15000001,North East
251,E14000677,Easington,E15000001,North East
340,E14000819,Middlesbrough,E15000001,North East
341,E14000820,Middlesbrough South and East Cleveland,E15000001,North East
352,E14000831,Newcastle upon Tyne Central,E15000001,North East
353,E14000832,Newcastle upon Tyne East,E15000001,North East
354,E14000833,Newcastle upon Tyne North,E15000001,North East
361,E14000840,North Durham,E15000001,North East
374,E14000853,North Tyneside,E15000001,North East
377,E14000856,North West Durham,E15000001,North East
415,E14000944,South Shields,E15000001,North East
441,E14000970,Stockton North,E15000001,North East
442,E14000971,Stockton South,E15000001,North East
603,E14000982,Sunderland Central,E15000001,North East
627,E14001006,Tynemouth,E15000001,North East
635,E14001014,Wansbeck,E15000001,North East
641,E14001020,Washington and Sunderland West,E15000001,North East
