FID,PCON19CD,PCON19NM,EER19CD,EER19NM
484,N06000001,Belfast East,N07000001,Northern Ireland
485,N06000002,Belfast North,N07000001,Northern Ireland
486,N06000003,Belfast South,N07000001,Northern Ireland
487,N06000004,Belfast West,N07000001,Northern Ireland
488,N06000005,East Antrim,N07000001,Northern Ireland
489,N06000006,East Londonderry,N07000001,Northern Ireland
490,N06000007,Fermanagh and South Tyrone,N07000001,Northern Ireland
491,N06000008,Foyle,N07000001,Northern Ireland
492,N06000009,Lagan Valley,N07000001,Northern Ireland
493,N06000010,Mid Ulster,N07000001,Northern Ireland
494,N06000011,Newry and Armagh,N07000001,Northern Ireland
495,N06000012,North Antrim,N07000001,Northern Ireland
496,N06000013,North Down,N07000001,Northern Ireland
497,N06000014,South Antrim,N07000001,Northern Ireland
498,N06000015,South Down,N07000001,Northern Ireland
499,N06000016,Strangford,N07000001,Northern Ireland
500,N06000017,Upper Bann,N07000001,Northern Ireland
501,N06000018,West Tyrone,N07000001,Northern Ireland
