FID,PCON19CD,PCON19NM,EER19CD,EER19NM
562,W07000041,Ynys Môn,W08000001,Wales
563,W07000042,Delyn,W08000001,Wales
564,W07000043,Alyn and Deeside,W08000001,Wales
565,W07000044,Wrexham,W08000001,Wales
566,W07000045,Llanelli,W08000001,Wales
567,W07000046,Gower,W08000001,Wales
568,W07000047,Swansea West,W08000001,Wales
569,W07000048,Swansea East,W08000001,Wales
570,W07000049,Aberavon,W08000001,Wales
571,W07000050,Cardiff Central,W08000001,Wales
572,W07000051,Cardiff North,W08000001,Wales
573,W07000052,Rhondda,W08000001,Wales
574,W07000053,Torfaen,W08000001,Wales
575,W07000054,Monmouth,W08000001,Wales
576,W07000055,Newport East,W08000001,Wales
577,W07000056,Newport West,W08000001,Wales
578,W07000057,Arfon,W08000001,Wales
579,W07000058,Aberconwy,W08000001,Wales
580,W07000059,Clwyd West,W08000001,Wales
581,W07000060,Vale of Clwyd,W08000001,Wales
582,W07000061,Dwyfor Meirionnydd,W08000001,Wales
583,W07000062,Clwyd South,W08000001,Wales
584,W07000063,Montgomeryshire,W08000001,Wales
585,W07000064,Ceredigion,W08000001,Wales
586,W07000065,Preseli Pembrokeshire,W08000001,Wales
587,W07000066,Carmarthen West and South Pembrokeshire,W08000001,Wales
588,W07000067,Carmarthen East and Dinefwr,W08000001,Wales
589,W07000068,Brecon and Radnorshire,W08000001,Wales
590,W07000069,Neath,W08000001,Wales
591,W07000070,Cynon Valley,W08000001,Wales
592,W07000071,Merthyr Tydfil and Rhymney,W08000001,Wales
593,W07000072,Blaenau Gwent,W08000001,Wales
594,W07000073,Bridgend,W08000001,Wales
595,W07000074,Ogmore,W08000001,Wales
596,W07000075,Pontypridd,W08000001,Wales
597,W07000076,Caerphilly,W08000001,Wales
598,W07000077,Islwyn,W08000001,Wales
599,W07000078,Vale of Glamorgan,W08000001,Wales
600,W07000079,Cardiff West,W08000001,Wales
601,W07000080,Cardiff South and Penarth,W08000001,Wales
